Neighborhood,total_sales
NAmes,33118383.67740002
OldTown,17901514.98459999
CollgCr,16776209.976699997
NridgHt,15545981.6824
Somerst,13355086.827199997
Edwards,12510083.356600003
Gilbert,11191063.718399998
Mitchel,9290838.006
Sawyer,8914991.013200004
SawyerW,8864008.654399997
Crawfor,7573150.145800001
NWAmes,7417315.5985
IDOTRR,6999648.491900002
BrkSide,6948135.4292
StoneBr,4739734.3841
Timber,4725268.4285
NoRidge,4060216.3555999994
SWISU,2911171.9886999996
BrDale,2261573.2376
NPkVill,2252904.5623999997
MeadowV,1781873.0051999998
Veenker,1619898.5801000001
ClearCr,1273655.6003999999
Blueste,1203181.8085
Blmngtn,931267.3341000001
