order_date,monthly_sales,running_total
2006-01-01,1091770.2467999998,1091770.2467999998
2006-02-01,2251397.3891000003,3343167.6359
2006-03-01,3275934.4961,6619102.132
2006-04-01,2241555.4866,8860657.6186
2006-05-01,5992356.304400002,14853013.923
2006-06-01,6589329.741100001,21442343.664100002
2006-07-01,7880779.992,29323123.6561
2006-08-01,3478698.9275999996,32801822.5837
2006-09-01,3707150.5634999997,36508973.1472
2006-10-01,3002188.3079000004,39511161.4551
2006-11-01,2455982.6506999996,41967144.1058
2006-12-01,1939212.9542999999,43906357.060100004
2007-01-01,2089843.6712,45996200.731300004
2007-02-01,2552287.6584,48548488.3897
2007-03-01,4405339.6417000005,52953828.0314
2007-04-01,3925956.6195,56879784.65090001
2007-05-01,6746141.7286,63625926.37950001
2007-06-01,6953206.6438,70579133.0233
2007-07-01,7511934.5587,78091067.582
2007-08-01,4936300.635600001,83027368.2176
2007-09-01,3598192.7889999994,86625561.0066
2007-10-01,4216801.937299999,90842362.9439
2007-11-01,2905742.7900000005,93748105.73390001
2007-12-01,2389298.2107,96137403.94460002
2008-01-01,2159993.2314999998,98297397.17610002
2008-02-01,2008403.7695000002,100305800.94560002
2008-03-01,2054761.9039000003,102360562.84950002
2008-04-01,5067316.4358,107427879.28530002
2008-05-01,5961017.330499999,113388896.61580002
2008-06-01,7230581.7971,120619478.41290003
2008-07-01,6876580.2216,127496058.63450003
2008-08-01,3026991.4838,130523050.11830002
2008-09-01,2102033.4480999997,132625083.56640002
2008-10-01,1505758.5122000002,134130842.07860002
2008-11-01,2640300.9616,136771143.04020002
2008-12-01,1464935.8983,138236078.93850002
2009-01-01,1086343.268,139322422.20650002
2009-02-01,2494450.3792999997,141816872.58580002
2009-03-01,3631377.6971,145448250.28290004
2009-04-01,3497659.6212,148945909.90410003
2009-05-01,4202706.4434,153148616.34750003
2009-06-01,7089597.4651999995,160238213.81270003
2009-07-01,6215140.7555,166453354.56820002
2009-08-01,4603687.249400001,171057041.8176
2009-09-01,3788967.7065000003,174846009.5241
2009-10-01,2786152.6569,177632162.181
2009-11-01,2270983.7664,179903145.9474
2009-12-01,1166287.1241000001,181069433.0715
2010-01-01,2369226.6576,183438659.7291
2010-02-01,1500215.7955999998,184938875.5247
2010-03-01,3659670.7226,188598546.2473
2010-04-01,4888551.4548,193487097.7021
2010-05-01,3206045.4252,196693143.1273
2010-06-01,7110018.150700001,203803161.278
2010-07-01,363995.5695,204167156.8475
