Neighborhood,Id,SalePrice,rank_pos
Blmngtn,2672,161595.0158,1
Blmngtn,2322,158608.7491,2
Blmngtn,2675,155919.0141,3
Blueste,2570,159233.9413,1
Blueste,2210,158527.1641,2
Blueste,1909,154650.199,3
BrDale,2284,186328.88,1
BrDale,2643,175332.2399,2
BrDale,1964,171411.4045,3
BrkSide,2466,196895.5999,1
BrkSide,2126,189432.6898,2
BrkSide,2461,189034.7537,3
ClearCr,2496,201691.2083,1
ClearCr,2150,199158.097,2
ClearCr,1555,188613.6676,3
CollgCr,2853,199792.3027,1
CollgCr,2177,198422.8681,2
CollgCr,2849,197034.7591,3
Crawfor,1597,213618.8716,1
Crawfor,2209,210578.6235,2
Crawfor,2881,209449.6516,3
Edwards,2823,235419.3734,1
Edwards,2550,230841.3386,2
Edwards,2822,222438.6991,3
Gilbert,2265,249768.2798,1
Gilbert,2257,205895.2546,2
Gilbert,2670,199437.2328,3
IDOTRR,2470,212693.503,1
IDOTRR,1913,210802.3954,2
IDOTRR,2130,193850.614,3
MeadowV,2243,178891.5545,1
MeadowV,2913,172917.4568,2
MeadowV,2907,167411.0284,3
Mitchel,2600,234707.2099,1
Mitchel,2608,228148.3764,2
Mitchel,2905,223667.4046,3
NAmes,2049,228617.9683,1
NAmes,2425,223055.5887,2
NAmes,1791,221648.392,3
NoRidge,2683,209375.0034,1
NoRidge,1698,202202.0733,2
NoRidge,2335,202112.0465,3
NPkVill,1965,178188.9648,1
NPkVill,2651,168664.3468,2
NPkVill,1654,168434.978,3
NridgHt,1667,232991.0256,1
NridgHt,2299,216855.2601,2
NridgHt,2652,211007.0083,3
NWAmes,1748,206492.5342,1
NWAmes,2044,200918.0188,2
NWAmes,1951,200210.3536,3
OldTown,2797,259423.8591,1
OldTown,2754,234492.2483,2
OldTown,2107,215911.6744,3
Sawyer,2814,218200.6421,1
Sawyer,2487,207566.1247,2
Sawyer,2804,205328.0782,3
SawyerW,1857,225810.1603,1
SawyerW,2504,220514.994,2
SawyerW,1858,214217.4011,3
Somerst,2353,196559.7093,1
Somerst,2690,194698.8822,2
Somerst,2688,188108.2437,3
StoneBr,2264,277936.1269,1
StoneBr,2629,228684.2451,2
StoneBr,1944,215785.5408,3
SWISU,2880,194255.5669,1
SWISU,2199,191215.0887,2
SWISU,2874,185807.9289,3
Timber,2591,216032.3037,1
Timber,2903,195596.3077,2
Timber,2233,194107.2876,3
Veenker,2022,200973.1294,1
Veenker,2041,192410.5166,2
Veenker,1746,187222.6533,3
